,Sno,date,Negative,Positive
212,213,2020-07-31,29,18
213,214,2020-08-01,15,17
214,215,2020-08-02,13,21
215,216,2020-08-03,18,17
216,217,2020-08-04,21,29
217,218,2020-08-05,23,27
218,219,2020-08-06,24,29
219,220,2020-08-07,30,26
220,221,2020-08-08,19,14
221,222,2020-08-09,18,14
222,223,2020-08-10,22,16
223,224,2020-08-11,24,35
224,225,2020-08-12,27,23
225,226,2020-08-13,25,22
226,227,2020-08-14,26,22
227,228,2020-08-15,10,20
228,229,2020-08-16,21,10
229,230,2020-08-17,21,22
230,231,2020-08-18,24,16
231,232,2020-08-19,22,21
232,233,2020-08-20,25,16
233,234,2020-08-21,15,18
234,235,2020-08-22,17,12
235,236,2020-08-23,19,10
236,237,2020-08-24,45,31
237,238,2020-08-25,46,38
238,239,2020-08-26,28,21
239,240,2020-08-27,26,16
240,241,2020-08-28,14,12
241,242,2020-08-29,14,12
242,243,2020-08-30,12,14
243,244,2020-08-31,27,20
244,245,2020-09-01,27,22
245,246,2020-09-02,30,17
246,247,2020-09-03,23,21
247,248,2020-09-04,17,14
248,249,2020-09-05,13,14
249,250,2020-09-06,15,11
250,251,2020-09-07,17,8
251,252,2020-09-08,32,22
252,253,2020-09-09,26,17
253,254,2020-09-10,23,21
254,255,2020-09-11,23,15
255,256,2020-09-12,18,15
256,257,2020-09-13,14,12
257,258,2020-09-14,15,14
258,259,2020-09-15,35,44
259,260,2020-09-16,31,35
260,261,2020-09-17,32,27
261,262,2020-09-18,32,17
262,263,2020-09-19,12,14
263,264,2020-09-20,16,9
264,265,2020-09-21,12,13
265,266,2020-09-22,20,26
266,267,2020-09-23,17,20
267,268,2020-09-24,26,11
268,269,2020-09-25,19,18
269,270,2020-09-26,14,14
270,271,2020-09-27,16,14
271,272,2020-09-28,20,27
272,273,2020-09-29,15,11
273,274,2020-09-30,13,14
274,275,2020-10-01,23,15
275,276,2020-10-02,16,13
276,277,2020-10-03,12,11
277,278,2020-10-04,7,8
278,279,2020-10-05,17,11
279,280,2020-10-06,18,13
280,281,2020-10-07,24,22
281,282,2020-10-08,18,12
282,283,2020-10-09,12,13
283,284,2020-10-10,10,10
284,285,2020-10-11,13,10
285,286,2020-10-12,21,13
286,287,2020-10-13,31,22
287,288,2020-10-14,28,20
288,289,2020-10-15,22,14
289,290,2020-10-16,23,16
290,291,2020-10-17,17,18
291,292,2020-10-18,18,7
292,293,2020-10-19,21,14
293,294,2020-10-20,19,18
294,295,2020-10-21,22,11
295,296,2020-10-22,11,15
296,297,2020-10-23,15,17
297,298,2020-10-24,14,13
298,299,2020-10-25,16,13
299,300,2020-10-26,18,15
300,301,2020-10-27,22,15
301,302,2020-10-28,18,17
302,303,2020-10-29,19,18
303,304,2020-10-30,26,12
304,305,2020-10-31,10,13
305,306,2020-11-01,9,5
306,307,2020-11-02,16,13
307,308,2020-11-03,12,14
308,309,2020-11-04,15,17
309,310,2020-11-05,17,16
310,311,2020-11-06,17,10
311,312,2020-11-07,16,5
312,313,2020-11-08,8,6
313,314,2020-11-09,15,20
314,315,2020-11-10,115,141
315,316,2020-11-11,46,67
316,317,2020-11-12,50,58
317,318,2020-11-13,42,37
318,319,2020-11-14,19,27
319,320,2020-11-15,26,32
320,321,2020-11-16,29,16
321,322,2020-11-17,39,41
322,323,2020-11-18,33,46
323,324,2020-11-19,21,32
324,325,2020-11-20,24,27
325,326,2020-11-21,23,27
326,327,2020-11-22,17,15
327,328,2020-11-23,28,18
328,329,2020-11-24,16,26
329,330,2020-11-25,12,24
330,331,2020-11-26,20,18
